No.,Name,Primary Pos,College,Primary Crew (start of season),NFL Experience (including year),Year
133,Steve Freeman,BJ,Mississippi State,Kemp,19,2019
80,Greg Gautreaux,SJ,Southwest Louisiana,Martin,18,2019
128,Ramon George,U,Lenoir-Rhyne,Novak,4,2019
103,Eugene Hall,SJ,North Texas,Cheffers,6,2019
49,Rich Hall,U,Arizona,Kemp,16,2019
107,Dave Hawkshaw,SJ,Justice Institute of B.C.,Smith,1,2019
93,Scott Helverson,BJ,Iowa,Wrolstad,17,2019
29,Adrian Hill,R,Buffalo,Hill,10,2019
125,Chad Hill,SJ,Mississippi,Novak,2,2019
97,Tom Hill,FJ,Carson Newman,Hochuli,21,2019
28,Mark Hittner,DJ,Pittsburg State,Smith,23,2019
83,Shawn Hochuli,R,Claremont,Hochuli,6,2019
106,Patrick Holt,DJ,North Carolina State,Boger,1,2019
35,John Hussey,R,Idaho State,Hussey,18,2019
36,Anthony Jeffries,FJ,Alabama-Birmingham,Corrente,2,2019
117,John Jenkins,FJ,St. Mary’s,Kemp,6,2019
101,Carl Johnson,LJ,Nicholls State,Hussey,16,2019
42,Nate Jones,FJ,Rutgers,Martin,1,2019
67,Tony Josselyn,BJ,Eastern Kentucky,Torbert,2,2019
55,Alex Kemp,R,Central Michigan,Kemp,6,2019
77,Terry Killens,U,Penn State,Torbert,1,2019
121,Paul King,U,Nicholls State,Hochuli,11,2019
21,Jeff Lamberth,SJ,Texas A&M,Wrolstad,18,2019
73,Joe Larrew,FJ,St. Louis,Blakeman,18,2019
2,Bart Longson,LJ,Brigham Young,Smith,5,2019
10,Julian Mapp,LJ,Grambling State,Rogers,11,2019
19,Clay Martin,R,Oklahoma Baptist,Martin,5,2019
39,Rich Martinez,BJ,Canisius,Hochuli,6,2019
8,Dana McKenzie,DJ,Toledo,Corrente,12,2019
110,Phil McKinnely,DJ,UCLA,Vinovich,18,2019
48,Jim Mello,DJ,Northeastern,Allen,16,2019
118,David Meslow,FJ,Augsburg College,Boger,9,2019
78,Greg Meyer,BJ,Texas Christian,Hill,18,2019
115,Tony Michalek,U,Indiana,Rogers,18,2019
111,Terrence Miles,BJ,Arizona State,Novak,12,2019
120,Jonah Monroe,SJ,Arkansas,Boger,5,2019
92,Bryan Neale,U,Indiana,Smith,6,2019
1,Scott Novak,R,Phoenix,Novak,6,2019
24,David Oliver,DJ,Baker,Hill,3,2019
124,Carl Paganelli,U,Michigan State,Boger,21,2019
105,Dino Paganelli,BJ,Aquinas College,Smith,14,2019
46,Perry Paganelli,BJ,Hope College,Blakeman,22,2019
17,Steve Patrick,BJ,Jacksonville State,Vinovich,6,2019
15,Rick Patterson,SJ,Wofford,Anderson,24,2019
79,Kent Payne,DJ,Nebraska Wesleyan,Rogers,16,2019
131,Mark Pellis,U,Allegheny,Cheffers,6,2019
9,Mark Perlman,LJ,Salem,Vinovich,19,2019
6,Jerod Phillips,DJ,Northeastern State,Martin,4,2019
47,Tim Podraza,LJ,Nebraska,Corrente,12,2019
109,Dyrol Prioleau,FJ,Johnson C. Smith,Smith,13,2019
30,Todd Prukop,BJ,Cal State-Fullerton,Corrente,11,2019
5,Jim Quirk,SJ,Middlebury,Hill,10,2019
44,Jeff Rice,U,Northwestern,Blakeman,25,2019
31,Mearl Robinson,FJ,Air Force,Vinovich,3,2019
126,Brad Rogers,R,Lubbock Christian,Rogers,3,2019
82,Jimmy Russell,SJ,Pasco Hernando State,Allen,1,2019
50,Aaron Santi,FJ,Southern Oregon,Rogers,5,2019
