game_id,Referee,Umpire,Head Linesman,Line Judge,Back Judge,Side Judge,Field Judge
1999_11_DET_GB,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_11_NO_JAX,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_11_SEA_KC,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAulay,Boris Cheek
1999_11_NE_MIA,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_11_BUF_NYJ,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Keven Mack
1999_11_IND_PHI,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carrol
1999_11_CHI_SD,Ed Hochuli,Chad Brown,George Hawyard,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_11_STL_SF,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_11_ATL_TB,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Jim Howey,Dave Wyant,Lloyd McPeters
1999_11_PIT_TEN,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Pete Morelli
1999_11_NYG_WAS,Bill Carollo,NA,NA,NA,NA,NA,NA
1999_11_OAK_DEN,Larry Nemmers,Neil Gereb,Dale Willaims,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_12_MIA_DAL,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_12_CHI_DET,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_12_JAX_BAL,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steve Zimmer
1999_12_NE_BUF,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_12_ATL_CAR,Tony Corrente,Ron Botchan,NA,NA,NA,NA,NA
1999_12_TEN_CLE,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Richard Reels,Dave Wyant,Lloyd McPeters
1999_12_NYJ_IND,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry Mcauley,Boris Cheek
1999_12_SD_MIN,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_12_ARI_NYG,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_12_KC_OAK,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughn,Rick Patterson,Keven Mack
1999_12_CIN_PIT,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_12_TB_SEA,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Pete Morelli
1999_12_NO_STL,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Scott Edwards
1999_12_PHI_WAS,Bob McElwee,Scott Dawson,NA,NA,NA,NA,NA
1999_12_GB_SF,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_13_PIT_JAX,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Lloyd McPeters
1999_13_PHI_ARI,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_13_NO_ATL,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_13_TEN_BAL,Ed Hochuli,Chad Brown,Michael Spanier,George Hayward,Don Carey,Laird Hayes,Jim Saracino
1999_13_STL_CAR,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_13_GB_CHI,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_13_SF_CIN,Gerry Austin,Jim Duke,NA,NA,NA,NA,NA
1999_13_KC_DEN,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_13_WAS_DET,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_13_IND_MIA,Mike Carey,Garth DeFelice,Sid Semon,Walt Anderson,Ron Spitler,Tommy Moore,Peter Morelli
1999_13_DAL_NE,Bob McElwee,Scott Dawson,James Wilson,Ron Phares,Jim Howey,Ken Baker,Bill Lovett
1999_13_NYJ_NYG,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob Mcgrath
1999_13_SEA_OAK,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_13_CLE_SD,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_13_MIN_TB,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAulay,Bobby Cheek
1999_14_OAK_TEN,Phil Luckett,Bob Wagner,Gary Slaughter,Byron Boston,Bill Leavy,Ron Liebsack,David Warden
1999_14_NYG_BUF,Bernie Kukar,Carl Paganelli,Tom Johnson,Jeff Bergman,Richard Reels,Dave Wyant,Lloyd McPeters
1999_14_CLE_CIN,Ron Winter,Ed Coukart,Sanford Rivers,Bruce Maurer,Billy Smith,Tom Hill,Steven Zimmer
1999_14_PHI_DAL,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Paetz
1999_14_CAR_GB,Ron Blum,Steve Wilson,Mark Hittner,Aaron Pointer,Kirk Dornan,Bill Spyksma,Al Jury
1999_14_NE_IND,Tom White,Jim Quirk,Paul Weidner,Ron Marinucci,Bob Waggoner,Gary Lane,Scott Edwards
1999_14_MIN_KC,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
1999_14_STL_NO,Bob McElwee,Scott Dawson,NA,NA,NA,NA,NA
1999_14_MIA_NYJ,Ed Hochuli,Chad Brown,George Hayward,Michael Spanier,Don Carey,Laird Hayes,Jim Saracino
1999_14_BAL_PIT,Jeff Triplette,Jim Daopoulos,Earnie Frantz,Gary Arthur,Bobby Skelton,Terry McAulay,Boris Cheek
1999_14_SD_SEA,Walt Coleman,Jeff Rice,Dale Hamer,Mark Steinkerchner,Robert Lawing,Neely Dunn,Bob McGrath
1999_14_ATL_SF,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_14_DET_TB,Bill Carollo,Butch Hannah,Tony Veteri,Ben Montgomery,Perry Paganelli,Larry Rose,Tim Millis
1999_14_ARI_WAS,Tony Corrente,Ron Botchan,Terry Gierke,Tom Barnes,Buddy Horton,Doug Toole,Tom Sifferman
1999_14_DEN_JAX,Gerry Austin,Jim Duke,John Schleyer,Ron Baynes,Jack Vaughan,Rick Patterson,Kevin Mack
1999_15_SF_CAR,Bill Carollo,Carl Paganelli,Tom Johnson,Bruce Maurer,Billy Smith,Dave Wyant,Lloyd Mcpeters
1999_15_PIT_KC,Larry Nemmers,Neil Gereb,Dale Williams,Charles Stewart,Bill Schmitz,Tom Fincken,Paul Baetz
1999_15_BUF_ARI,Johnny Grier,Brian Balliet,Tom Stabile,Dave Anderson,Scott Green,Dean Look,Duke Carroll
1999_15_NO_BAL,Dick Hantak,Carl Madsen,Mark Baltz,Tom Stephan,Don Dorkowski,Don Carlsen,Scott Steenson
